,Unnamed: 0,id,name_long,name,lat,lon,elev,lat_1999,lon_1999,elev_1999,elev_std_1999,date_1999,elev_from_dem
0,0,1,Swiss Camp,SWC,69.5732,-49.2952,1149,,,,,,1152.0
1,1,2,Crawford Pt. 1,CP1,69.8819,-46.9736,2022,69.8797157275,-46.986758491,1994.0,27.0,1999-05-25,1966.0
2,2,3,NASA-U,NAU,73.8333,-49.4953,2368,73.841888993,-49.498250747,2382.0,96.0,1999-05-13,2332.0
3,3,4,GITS,GIT,77.1433,-61.095,1925,77.137820952,-61.0410620505,1889.0,54.0,1999-04-30,1872.0
4,4,5,Humboldt,HUM,78.5266,-56.8305,1995,,,,,,1958.0
5,5,6,Summit,SUM,72.5794,-38.5042,3254,72.57975117,-38.504471984,3256.0,40.0,1999-05-09,3205.0
6,6,7,Tunu-N,TUN,78.0168,-33.9939,2300,,,,,,2077.0
7,7,8,DYE-2,DY2,66.481,-46.2799,2100,,,,,,2109.0
8,8,9,JAR1,JAR,69.4984,-49.6816,962,,,,,,941.0
9,9,10,Saddle,SDL,66.0006,-44.5014,2460,,,,,,2464.0
10,10,11,South Dome,SDM,63.1489,-44.8167,2850,63.1489,-44.81718,2934.0,51.0,1999-04-23,2877.0
11,11,12,NASA-E,NAE,75.0,-29.9997,2631,,,,,,2609.0
12,12,13,Crawford Pt. 2,CP2,69.913333,-46.854722,1990,69.879733521,-46.986549141,2023.0,35.0,1999-05-26,1970.0
13,13,14,NGRIP,NGP,75.0998,-42.3326,2918,,,,,,2921.0
14,14,15,NASA-SE,NSE,66.4794,-42.5003,2360,66.47977468,-42.500371733,2410.0,134.0,1999-04-17,2384.0
15,15,16,KAR,KAR,69.699444,-33.005833,2579,69.699483688,-33.000102125,2511.0,33.0,1999-05-17,2567.0
16,16,17,JAR2,JR2,69.42,-50.0575,568,,,,,,517.0
17,17,18,KULU,KUL,65.758333,-39.601667,878,65.758504156,-39.601725774,982.0,91.0,1999-06-19,902.0
18,18,19,JAR3,JR3,69.3951,-50.31,323,,,,,,272.0
19,19,21,Petermann Gl.,PTG,80.5897,-59.9622,825,,,,,,60.0
20,20,22,Petermann ELA,PET,80.0839,-58.0672,741,,,,,,973.0
21,21,23,NEEM,NEM,77.45,-51.06,2450,,,,,,2448.0
